Utterance	POV Converted Text
Ask CN, how to connect the home theater?	Hi CN, SCN is asking how to connect the home theater
Ask CN, how to make nachos?	Hi CN, SCN is asking how to make nachos
Ask CN, how to use the washing machine?	Hi CN, SCN is asking how to use the washing machine
Ask CN, how to make payment through amazon pay?	Hi CN, SCN is asking how to make payment through amazon pay
Ask CN, how to pay electricity bill through amazon pay?	Hi CN, SCN is asking how to pay electricity bill through amazon pay
Ask CN, how to use the tongue cleaner?	Hi CN, SCN is asking how to use the tongue cleaner
Ask CN, how to reserve tickets online?	Hi CN, SCN is asking how to reserve tickets online
Ask CN, how to make an online checkin?	Hi CN, SCN is asking how to make an online checkin
Ask CN, how to inspect the bug in a web application?	Hi CN, SCN is asking how to inspect the bug in a web application
Ask CN, how to apply job for front end developer?	Hi CN, SCN is asking how to apply job for front end developer
Ask CN, how to enable skills in alexa?	Hi CN, SCN is asking how to enable skills in alexa
Ask CN, how to use the remote control for car?	Hi CN, SCN is asking how to use the remote control for car
Ask CN, how to build a house in minecraft?	Hi CN, SCN is asking how to build a house in minecraft
Ask CN, how to build an architecture roadmap?	Hi CN, SCN is asking how to build an architecture roadmap
Ask CN, how designers design lehangas?	Hi CN, SCN is asking how designers design lehangas
Ask CN, how many designs does zara have?	Hi CN, SCN is asking how many designs does zara have
Ask CN, how to buy clothes from online?	Hi CN, SCN is asking how to buy clothes from online
Ask CN, how to choose a perfect wedding decoraters?	Hi CN, SCN is asking how to choose a perfect wedding decoraters
Ask CN what should we wear for mehandhi function?	Hi CN, SCN is asking what should we wear for mehandhi function
Ask CN what is the theme for sangeeth?	Hi CN, SCN is asking what is the theme for sangeeth
Ask CN what is the best route for bangalore?	Hi CN, SCN is asking what is the best route for bangalore
Ask CN what is the easiest job that can be done from home?	Hi CN, SCN is asking what is the easiest job that can be done from home
Ask CN what rick is doing?	Hi CN, SCN is asking what rick is doing
Ask CN what is the easiest language to learn for spanish speakers?	Hi CN, SCN is asking what is the easiest language to learn for spanish speakers
Ask CN what you want from dubai?	Hi CN, SCN is asking what you want from dubai
Ask CN what films are playing in inox?	Hi CN, SCN is asking what films are playing in inox
Ask CN what do you do when you are bored?	Hi CN, SCN is asking what do you do when you are bored
Ask CN what is bothering you?	Hi CN, SCN is asking what is bothering you
Ask CN what are the steps you take to improve your skills?	Hi CN, SCN is asking what are the steps you take to improve your skills
Ask CN what made you cry?	Hi CN, SCN is asking what made you cry
Ask CN what if your analysis go wrong?	Hi CN, SCN is asking what if your analysis go wrong
Ask CN what do you when your alone at home?	Hi CN, SCN is asking what do you when your alone at home
Ask CN what makes you laugh?	Hi CN, SCN is asking what makes you laugh
Ask CN what makes you to be confident?	Hi CN, SCN is asking what makes you to be confident
Ask CN what makes you to apply for internship at google?	Hi CN, SCN is asking what makes you to apply for internship at google
Ask CN what are the skills required to crack the interview?	Hi CN, SCN is asking what are the skills required to crack the interview
Ask CN what are the causes of air pollution?	Hi CN, SCN is asking what are the causes of air pollution 
Ask CN what are the ingredients of biryani?	Hi CN, SCN is asking what are the ingredients of biryani
Ask CN what are the materials required for hand casting?	Hi CN, SCN is asking what are the materials required for hand casting
Ask CN what are your plans for new year?	Hi CN, SCN is asking what are your plans for new year
Ask CN what are mutual funds?	Hi CN, SCN is asking what are mutual funds
Ask CN what are you most excited about work?	Hi CN, SCN is asking what are you most excited about work
Ask CN what are your strengths?	Hi CN, SCN is asking what are your strengths
Ask CN what are the things we get from plants?	Hi CN, SCN is asking what are the things we get from plants
Ask CN what are the things available in the super market?	Hi CN, SCN is asking what are the things available in the super market
Ask CN what motivates you the most?	Hi CN, SCN is asking what motivates you the most
Ask CN what are the things to do in goa?	Hi CN, SCN is asking what are the things to do in goa
Ask CN what are all the things we get from forest?	Hi CN, SCN is asking what are all the things we get from forest
Ask CN what is an essential oil?	Hi CN, SCN is asking what is an essential oil
Ask CN what is the benefit of doing yoga?	Hi CN, SCN is asking what is the benefit of doing yoga
Ask CN what is the benefit of chia seeds for skin?	Hi CN, SCN is asking what is the benefit of chia seeds for skin
Ask CN what time can we meet at the coffee shop?	Hi CN, SCN is asking what time can we meet at the coffee shop
Ask CN what is the best way of ignoring people?	Hi CN, SCN is asking what is the best way of ignoring people
Ask CN what is the play time for apple airpods?	Hi CN, SCN is asking what is the play time for apple airpods
Ask CN why is rick angry on you?	Hi CN, SCN is asking why is rick angry on you
Ask CN why are you late home?	Hi CN, SCN is asking why are you late home
Ask CN what makes us a happy couple?	Hi CN, SCN is asking what makes us a happy couple
Ask CN why din't you take me for the candle light dinner?	Hi CN, SCN is asking why din't you take me for the candle light dinner
Ask CN why do stars twinkle?	Hi CN, SCN is asking why do stars twinkle
Ask CN why are stars so bright?	Hi CN, SCN is asking why are stars so bright
Ask CN why does ice float on water?	Hi CN, SCN is asking why does ice float on water
Ask CN why are you looking for job change?	Hi CN, SCN is asking why are you looking for job change
Ask CN why are you so obsessed with rick?	Hi CN, SCN is asking why are you so obsessed with rick
Ask CN why are you running?	Hi CN, SCN is asking why are you running
Ask CN why should we save water?	Hi CN, SCN is asking why should we save water
Ask CN why would you even do that?	Hi CN, SCN is asking why would you even do that
Ask CN why are you so cunning? 	Hi CN, SCN is asking why are you so cunning
Ask CN why do foxes attack humans?	Hi CN, SCN is asking why do foxes attack humans
Ask CN do herbivores have canine teeth?	Hi CN, SCN is asking do herbivores have canine teeth
remind CN to join the meeting tomorrow at 12.30 pm	hi CN, SCN asks you to join the meeting tomorrow at 12.30 pm
tell CN to search for the football courts in yakima	hey CN, SCN wants you to search for the football courts in yakima
tell CN to register in zest money	hi CN, SCN is asking you to register in zest money
remind CN to take his mom to the nearest hospital	hey CN, SCN requests you to take your mom to the nearest hospital
remind CN to change the locks today	hi CN, SCN is asking you to change the locks today
remind CN to replace batteries in smoke detector	hey CN, SCN wants you to replace batteries in smoke detector
remind CN to clean the carpets this weekend	hi CN, SCN is requesting you to clean the carpets this weekend
remind CN to change the heating and cooling filters	hi CN, SCN asks you to change the heating and cooling filters
tell CN to install security cameras in home	hey CN, SCN wants you to install security cameras in home
